TZ;NAME;OFFSET;HOURS;MINUTES
ACDT;Australian Central Daylight Savings Time;UTC+10:30;10;30
ACST;Australian Central Standard Time;UTC+09:30;9;30
ACT;Acre Time;UTC-05;-5;0
ACWST;Australian Central Western Standard Time;UTC+08:45;8;45
ADT;Atlantic Daylight Time;UTC-03;-3;0
AEDT;Australian Eastern Daylight Savings Time;UTC+11;11;0
AEST;Australian Eastern Standard Time;UTC+10;10;0
AFT;Afghanistan Time;UTC+04:30;4;30
AKDT;Alaska Daylight Time;UTC-08;-8;0
AKST;Alaska Standard Time;UTC-09;-9;0
AMST;Amazon Summer Time (Brazil);UTC-03;-3;0
AMT;Amazon Time (Brazil);UTC-04;-4;0
ART;Argentina Time;UTC-03;-3;0
AST;Atlantic Standard Time;UTC-04;-4;0
AWST;Australian Western Standard Time;UTC+08;8;0
AZOST;Azores Summer Time;UTC+00;0;0
AZOT;Azores Standard Time;UTC-01;-1;0
AZT;Azerbaijan Time;UTC+04;4;0
BDT;Brunei Time;UTC+08;8;0
BIOT;British Indian Ocean Time;UTC+06;6;0
BIT;Baker Island Time;UTC-12;-12;0
BOT;Bolivia Time;UTC-04;-4;0
BRST;Brasília Summer Time;UTC-02;-2;0
BRT;Brasilia Time;UTC-03;-3;0
BST;British Summer Time;UTC+01;1;0
BTT;Bhutan Time;UTC+06;6;0
CAT;Central Africa Time;UTC+02;2;0
CCT;Cocos Islands Time;UTC+06:30;6;30
CDT;Central Daylight Time (North America);UTC-05;-5;0
CEST;Central European Summer Time;UTC+02;2;0
CET;Central European Time;UTC+01;1;0
CHADT;Chatham Daylight Time;UTC+13:45;13;45
CHAST;Chatham Standard Time;UTC+12:45;12;45
CHOST;Choibalsan Summer Time;UTC+09;9;0
CHOT;Choibalsan Standard Time;UTC+08;8;0
CHST;Chamorro Standard Time;UTC+10;10;0
CHUT;Chuuk Time;UTC+10;10;0
CIST;Clipperton Island Standard Time;UTC-08;-8;0
CIT;Central Indonesia Time;UTC+08;8;0
CKT;Cook Island Time;UTC-10;-10;0
CLST;Chile Summer Time;UTC-03;-3;0
CLT;Chile Standard Time;UTC-04;-4;0
COST;Colombia Summer Time;UTC-04;-4;0
COT;Colombia Time;UTC-05;-5;0
CST;Central Standard Time (North America);UTC-06;-6;0
CT;China Time;UTC+08;8;0
CVT;Cape Verde Time;UTC-01;-1;0
CWST;Central Western Standard Time (Australia);UTC+08:45;8;45
CXT;Christmas Island Time;UTC+07;7;0
DAVT;Davis Time;UTC+07;7;0
DDUT;Dumont d'Urville Time;UTC+10;10;0
DFT;AIX-specific equivalent of Central European Time;UTC+01;1;0
EASST;Easter Island Summer Time;UTC-05;-5;0
EAST;Easter Island Standard Time;UTC-06;-6;0
EAT;East Africa Time;UTC+03;3;0
ECT;Eastern Caribbean Time;UTC-04;-4;0
EDT;Eastern Daylight Time (North America);UTC-04;-4;0
EEST;Eastern European Summer Time;UTC+03;3;0
EET;Eastern European Time;UTC+02;2;0
EGST;Eastern Greenland Summer Time;UTC+00;0;0
EGT;Eastern Greenland Time;UTC-01;-1;0
EIT;Eastern Indonesian Time;UTC+09;9;0
EST;Eastern Standard Time (North America);UTC-05;-5;0
FET;Further-eastern European Time;UTC+03;3;0
FJT;Fiji Time;UTC+12;12;0
FKST;Falkland Islands Summer Time;UTC-03;-3;0
FKT;Falkland Islands Time;UTC-04;-4;0
FNT;Fernando de Noronha Time;UTC-02;-2;0
GALT;Galápagos Time;UTC-06;-6;0
GAMT;Gambier Islands Time;UTC-09;-9;0
GET;Georgia Standard Time;UTC+04;4;0
GFT;French Guiana Time;UTC-03;-3;0
GILT;Gilbert Island Time;UTC+12;12;0
GIT;Gambier Island Time;UTC-09;-9;0
GMT;Greenwich Mean Time;UTC+00;0;0
GST;Gulf Standard Time;UTC+04;4;0
GYT;Guyana Time;UTC-04;-4;0
HAEC;Heure Avancée d'Europe Centrale;UTC+02;2;0
HDT;Hawaii–Aleutian Daylight Time;UTC-09;-9;0
HKT;Hong Kong Time;UTC+08;8;0
HMT;Heard and McDonald Islands Time;UTC+05;5;0
HOVST;Khovd Summer Time;UTC+08;8;0
HOVT;Khovd Standard Time;UTC+07;7;0
HST;Hawaii–Aleutian Standard Time;UTC-10;-10;0
ICT;Indochina Time;UTC+07;7;0
IDLW;International Day Line West time zone;UTC-12;-12;0
IDT;Israel Daylight Time;UTC+03;3;0
IOT;Indian Ocean Time;UTC+03;3;0
IRDT;Iran Daylight Time;UTC+04:30;4;30
IRKT;Irkutsk Time;UTC+08;8;0
IRST;Iran Standard Time;UTC+03:30;3;30
IST;Indian Standard Time;UTC+05:30;5;30
JST;Japan Standard Time;UTC+09;9;0
KALT;Kaliningrad Time;UTC+02;2;0
KGT;Kyrgyzstan Time;UTC+06;6;0
KOST;Kosrae Time;UTC+11;11;0
KRAT;Krasnoyarsk Time;UTC+07;7;0
KST;Korea Standard Time;UTC+09;9;0
LHST;Lord Howe Standard Time;UTC+10:30;10;30
LINT;Line Islands Time;UTC+14;14;0
MAGT;Magadan Time;UTC+12;12;0
MART;Marquesas Islands Time;UTC-09:30;-9;30
MAWT;Mawson Station Time;UTC+05;5;0
MDT;Mountain Daylight Time (North America);UTC-06;-6;0
MEST;Middle European Summer Time;UTC+02;2;0
MET;Middle European Time;UTC+01;1;0
MHT;Marshall Islands Time;UTC+12;12;0
MIST;Macquarie Island Station Time;UTC+11;11;0
MIT;Marquesas Islands Time;UTC-09:30;-9;30
MMT;Myanmar Standard Time;UTC+06:30;6;30
MSK;Moscow Time;UTC+03;3;0
MST;Mountain Standard Time (North America);UTC-07;-7;0
MUT;Mauritius Time;UTC+04;4;0
MVT;Maldives Time;UTC+05;5;0
MYT;Malaysia Time;UTC+08;8;0
NCT;New Caledonia Time;UTC+11;11;0
NDT;Newfoundland Daylight Time;UTC-02:30;-2;30
NFT;Norfolk Island Time;UTC+11;11;0
NPT;Nepal Time;UTC+05:45;5;45
NST;Newfoundland Standard Time;UTC-03:30;-3;30
NT;Newfoundland Time;UTC-03:30;-3;30
NUT;Niue Time;UTC-11;-11;0
NZDT;New Zealand Daylight Time;UTC+13;13;0
NZST;New Zealand Standard Time;UTC+12;12;0
OMST;Omsk Time;UTC+06;6;0
ORAT;Oral Time;UTC+05;5;0
PDT;Pacific Daylight Time (North America);UTC-07;-7;0
PET;Peru Time;UTC-05;-5;0
PETT;Kamchatka Time;UTC+12;12;0
PGT;Papua New Guinea Time;UTC+10;10;0
PHOT;Phoenix Island Time;UTC+13;13;0
PHT;Philippine Time;UTC+08;8;0
PKT;Pakistan Standard Time;UTC+05;5;0
PMDT;Saint Pierre and Miquelon Daylight Time;UTC-02;-2;0
PMST;Saint Pierre and Miquelon Standard Time;UTC-03;-3;0
PONT;Pohnpei Standard Time;UTC+11;11;0
PST;Pacific Standard Time (North America);UTC-08;-8;0
PYST;Paraguay Summer Time;UTC-03;-3;0
PYT;Paraguay Time;UTC-04;-4;0
RET;Réunion Time;UTC+04;4;0
ROTT;Rothera Research Station Time;UTC-03;-3;0
SAKT;Sakhalin Island Time;UTC+11;11;0
SAMT;Samara Time;UTC+04;4;0
SAST;South African Standard Time;UTC+02;2;0
SBT;Solomon Islands Time;UTC+11;11;0
SCT;Seychelles Time;UTC+04;4;0
SDT;Samoa Daylight Time;UTC-10;-10;0
SGT;Singapore Time;UTC+08;8;0
SLST;Sri Lanka Standard Time;UTC+05:30;5;30
SRET;Srednekolymsk Time;UTC+11;11;0
SRT;Suriname Time;UTC-03;-3;0
SST;Singapore Standard Time;UTC+08;8;0
SYOT;Showa Station Time;UTC+03;3;0
TAHT;Tahiti Time;UTC-10;-10;0
TFT;Indian/Kerguelen;UTC+05;5;0
THA;Thailand Standard Time;UTC+07;7;0
TJT;Tajikistan Time;UTC+05;5;0
TKT;Tokelau Time;UTC+13;13;0
TLT;Timor Leste Time;UTC+09;9;0
TMT;Turkmenistan Time;UTC+05;5;0
TOT;Tonga Time;UTC+13;13;0
TRT;Turkey Time;UTC+03;3;0
TVT;Tuvalu Time;UTC+12;12;0
ULAST;Ulaanbaatar Summer Time;UTC+09;9;0
ULAT;Ulaanbaatar Standard Time;UTC+08;8;0
UTC;Coordinated Universal Time;UTC+00;0;0
UYST;Uruguay Summer Time;UTC-02;-2;0
UYT;Uruguay Standard Time;UTC-03;-3;0
UZT;Uzbekistan Time;UTC+05;5;0
VET;Venezuelan Standard Time;UTC-04;-4;0
VLAT;Vladivostok Time;UTC+10;10;0
VOLT;Volgograd Time;UTC+04;4;0
VOST;Vostok Station Time;UTC+06;6;0
VUT;Vanuatu Time;UTC+11;11;0
WAKT;Wake Island Time;UTC+12;12;0
WAST;West Africa Summer Time;UTC+02;2;0
WAT;West Africa Time;UTC+01;1;0
WEST;Western European Summer Time;UTC+01;1;0
WET;Western European Time;UTC+00;0;0
WIT;Western Indonesian Time;UTC+07;7;0
WST;Western Standard Time;UTC+08;8;0
